Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,mean_squared_error,mean_absolute_error,median_absolute_error,r2_score,explained_variance_score,Training Time,Inference Time
analcatdata_apnea1,Cobra,2,"{'epsilon': 0.3214051580936409, 'machine_list': 'advanced')",0.000462469,0.01504917,0.01175428,-0.072489374,0,116.3322575,13.45614682
analcatdata_apnea1,Ewa,2,"{'beta': 0.001, 'machine_list': 'basic')",0.001471063,0.024228549,0.006508944,-2.411467579,-1.617197393,7.504426719,0.015536327
analcatdata_apnea1,AdaBoost,3,"{'base_estimator__ccp_alpha': 0.05586898284457517, 'n_estimators': 99}",0.00269879,0.029952996,0.019612417,0.942708221,0.943678655,1.148414614,0.002425715
analcatdata_apnea1,Boruta,3,"{'ccp_alpha': 0.001981014890848788, 'n_estimators': 18}",0.002881681,0.021228897,0.009009388,0.938825687,0.939653389,128.0517339,0.002120218
analcatdata_apnea1,Cobra,3,"{'epsilon': 0.3604895405165798, 'machine_list': 'basic')",0.004381595,0.027477014,0.012339887,0.90698447,0.908211824,117.6489394,13.35941415
analcatdata_apnea1,Ewa,3,"{'beta': 0.001, 'machine_list': 'basic')",0.007592959,0.041931222,0.009181309,0.838811402,0.838861132,7.520481155,0.018855333
analcatdata_apnea1,AdaBoost,4,"{'base_estimator__ccp_alpha': 0.0518152548941889, 'n_estimators': 5}",0.001097789,0.024760043,0.013199202,0.912291474,0.914385836,1.260164215,0.001097188
analcatdata_apnea1,Boruta,4,"{'ccp_alpha': 0.001862602113776709, 'n_estimators': 11}",0.001743518,0.022567319,0.007612918,0.860700594,0.861103373,128.040113,0.001426634
analcatdata_apnea1,Cobra,4,"{'epsilon': 0.4087136142602855, 'machine_list': 'basic')",0.0017774,0.023423418,0.010099289,0.857993578,0.858008003,116.1333632,13.3078853
analcatdata_apnea1,Ewa,4,"{'beta': 0.001, 'machine_list': 'basic')",0.001722377,0.029763313,0.014205612,0.862389676,0.881973397,7.535088591,0.019050335
analcatdata_apnea1,AdaBoost,5,"{'base_estimator__ccp_alpha': 0.0518152548941889, 'n_estimators': 5}",0.001897078,0.02834583,0.015556009,0.94796882,0.948324778,1.259239424,0.001062958
analcatdata_apnea1,Boruta,5,"{'ccp_alpha': 0.001981014890848788, 'n_estimators': 18}",0.001041835,0.018602482,0.007908706,0.971425572,0.97184844,128.0562787,0.00211635
analcatdata_apnea1,Cobra,5,"{'epsilon': 0.5692476977639049, 'machine_list': 'basic')",0.006605801,0.031206034,0.011528639,0.818822577,0.822145058,117.2182615,13.30923105
analcatdata_apnea1,Ewa,5,"{'beta': 0.001, 'machine_list': 'basic')",0.006290759,0.036305545,0.011041857,0.827463243,0.828502205,7.49198282,0.015046889
analcatdata_apnea1,AdaBoost,6,"{'base_estimator__ccp_alpha': 0.05245481595728714, 'n_estimators': 33}",0.005865427,0.043186374,0.033623836,0.805388608,0.818106974,1.09157231,0.002410557
analcatdata_apnea1,Boruta,6,"{'ccp_alpha': 0.0022957721372982554, 'n_estimators': 19}",0.004942676,0.02665842,0.008025552,0.836004918,0.836190815,128.0565112,0.002234198
analcatdata_apnea1,Cobra,6,"{'epsilon': 0.41888821348468697, 'machine_list': 'basic')",0.002783232,0.022639004,0.010817352,0.907654007,0.908637032,116.9279531,13.3197595
analcatdata_apnea1,Ewa,6,"{'beta': 0.001, 'machine_list': 'basic')",0.006616902,0.04013232,0.016154225,0.780455092,0.783415349,7.443838467,0.016017762
analcatdata_apnea1,AdaBoost,7,"{'base_estimator__ccp_alpha': 0.0518152548941889, 'n_estimators': 5}",0.000583708,0.020422488,0.013240052,-0.36961658,-0.141997773,1.189683012,0.001054587
